support,confidence,num_rules
0.13333333333333333,0.83,30
0.13333333333333333,0.846,30
0.13333333333333333,0.862,30
0.13333333333333333,0.878,30
0.13333333333333333,0.894,30
0.13333333333333333,0.91,30
0.13333333333333333,0.9259999999999999,30
0.13333333333333333,0.942,30
0.13333333333333333,0.958,30
0.13333333333333333,0.974,30
0.13333333333333333,0.99,30
0.14,0.75,30
0.14,0.766,30
0.14,0.782,30
0.14,0.798,30
0.14,0.8140000000000001,30
0.14,0.83,30
0.14,0.846,30
0.14,0.862,30
0.14,0.878,30
0.14,0.894,30
0.14,0.91,30
0.14,0.9259999999999999,30
0.14,0.942,30
0.14,0.958,30
0.14,0.974,30
0.14,0.99,30
0.14666666666666667,0.75,30
0.14666666666666667,0.766,30
0.14666666666666667,0.782,30
0.14666666666666667,0.798,30
0.14666666666666667,0.8140000000000001,30
0.14666666666666667,0.83,30
0.14666666666666667,0.846,30
0.14666666666666667,0.862,30
0.14666666666666667,0.878,30
0.14666666666666667,0.894,30
0.14666666666666667,0.91,30
0.14666666666666667,0.9259999999999999,30
0.14666666666666667,0.942,30
0.14666666666666667,0.958,30
0.14666666666666667,0.974,30
0.14666666666666667,0.99,30
0.15333333333333335,0.75,20
0.15333333333333335,0.766,20
0.15333333333333335,0.782,20
0.15333333333333335,0.798,20
0.15333333333333335,0.8140000000000001,20
0.15333333333333335,0.83,20
0.15333333333333335,0.846,20
0.15333333333333335,0.862,20
0.15333333333333335,0.878,20
0.15333333333333335,0.894,20
0.15333333333333335,0.91,20
0.15333333333333335,0.9259999999999999,20
0.15333333333333335,0.942,20
0.15333333333333335,0.958,20
0.15333333333333335,0.974,20
0.15333333333333335,0.99,20
0.16,0.75,20
0.16,0.766,20
0.16,0.782,20
0.16,0.798,20
0.16,0.8140000000000001,20
0.16,0.83,20
0.16,0.846,20
0.16,0.862,20
0.16,0.878,20
0.16,0.894,20
0.16,0.91,20
0.16,0.9259999999999999,20
0.16,0.942,20
0.16,0.958,20
0.16,0.974,20
0.16,0.99,20
0.16666666666666669,0.75,20
0.16666666666666669,0.766,20
0.16666666666666669,0.782,20
0.16666666666666669,0.798,20
0.16666666666666669,0.8140000000000001,20
0.16666666666666669,0.83,20
0.16666666666666669,0.846,20
0.16666666666666669,0.862,20
0.16666666666666669,0.878,20
0.16666666666666669,0.894,20
0.16666666666666669,0.91,20
0.16666666666666669,0.9259999999999999,20
0.16666666666666669,0.942,20
0.16666666666666669,0.958,20
0.16666666666666669,0.974,20
0.16666666666666669,0.99,20
0.17333333333333334,0.75,20
0.17333333333333334,0.766,20
0.17333333333333334,0.782,20
0.17333333333333334,0.798,20
0.17333333333333334,0.8140000000000001,20
0.17333333333333334,0.83,20
0.17333333333333334,0.846,20
0.17333333333333334,0.862,20
0.17333333333333334,0.878,20
0.17333333333333334,0.894,20
0.17333333333333334,0.91,20
0.17333333333333334,0.9259999999999999,20
0.17333333333333334,0.942,20
0.17333333333333334,0.958,20
0.17333333333333334,0.974,20
0.17333333333333334,0.99,20
0.18,0.75,20
0.18,0.766,20
0.18,0.782,20
0.18,0.798,20
0.18,0.8140000000000001,20
0.18,0.83,20
0.18,0.846,20
0.18,0.862,20
0.18,0.878,20
0.18,0.894,20
0.18,0.91,20
0.18,0.9259999999999999,20
0.18,0.942,20
0.18,0.958,20
0.18,0.974,20
0.18,0.99,20
0.18666666666666668,0.75,20
0.18666666666666668,0.766,20
0.18666666666666668,0.782,20
0.18666666666666668,0.798,20
0.18666666666666668,0.8140000000000001,20
0.18666666666666668,0.83,20
0.18666666666666668,0.846,20
0.18666666666666668,0.862,20
0.18666666666666668,0.878,20
0.18666666666666668,0.894,20
0.18666666666666668,0.91,20
0.18666666666666668,0.9259999999999999,20
0.18666666666666668,0.942,20
0.18666666666666668,0.958,20
0.18666666666666668,0.974,20
0.18666666666666668,0.99,20
0.19333333333333336,0.75,20
0.19333333333333336,0.766,20
0.19333333333333336,0.782,20
0.19333333333333336,0.798,20
